Date,Open,High,Low,Close,Adj Close,Volume,,
22/02/2022,124.199997,125,122.68,123.919998,118.036903,5349700,,-0.014928899
23/02/2022,124.379997,124.699997,121.870003,122.07,116.274742,4086400,,-0.000819206
24/02/2022,120,122.099998,118.809998,121.970001,116.179489,6563200,,0.018119205
25/02/2022,122.050003,124.260002,121.449997,124.18,118.284569,4460900,,-0.013448255
28/02/2022,122.209999,123.389999,121.040001,122.510002,116.693848,6757300,,-0.009468597
01/03/2022,122.669998,123.389999,120.699997,121.349998,115.588921,4873300,,0.020683972
02/03/2022,122.589996,124.639999,121.800003,123.860001,117.979759,4891400,,0.016712409
03/03/2022,124.959999,126.669998,124.239998,125.93,119.951485,5206600,,0.00547929
04/03/2022,124.400002,127.349998,124.209999,126.620003,120.608734,4402400,,-0.004343699
07/03/2022,126.470001,127.910004,125.620003,126.07,120.084846,5047400,,-0.003093563
08/03/2022,126.620003,128.350006,124.82,125.68,119.713356,4887600,,0.004296588
09/03/2022,127.410004,128.100006,125.910004,126.220001,120.227715,4403500,,-0.014815386
10/03/2022,125.75,126.029999,123.129997,124.349998,118.446495,5326800,,-0.003136294
11/03/2022,125,126.769997,123.910004,123.959999,118.075012,4119600,,-0.000161338
14/03/2022,124.449997,125.160004,122.690002,123.940002,118.055962,3289200,,0.013716317
15/03/2022,124,125.940002,123.220001,125.639999,119.675255,4021200,,0.011142938
16/03/2022,126.5,127.279999,124.709999,127.040001,121.008789,4292800,,0.007241788
17/03/2022,127.099998,128.289993,126.529999,127.959999,121.885109,3671900,,0.006251863
18/03/2022,127.379997,128.929993,126.370003,128.759995,122.647118,7466000,,-0.005125657
21/03/2022,129,129.740005,127.400002,128.100006,122.018471,3384600,,0.007494119
22/03/2022,128.5,129.300003,127.849998,129.059998,122.932892,2690200,,-0.005888701
23/03/2022,129.080002,129.320007,128.25,128.300003,122.208977,2924500,,0.007404464
24/03/2022,128.330002,129.369995,127.800003,129.25,123.113869,2971100,,0.016247601
25/03/2022,129.5,131.399994,129.309998,131.350006,125.114174,3530200,,0.000913534
28/03/2022,130.820007,131.5,129.600006,131.470001,125.22847,2483500,,0.003574946
29/03/2022,132.039993,132.839996,130.429993,131.940002,125.676155,5791000,,0.00144009
